support,itemsets
0.2510659272951325,Time=Night
0.24781269254467037,Time=Morning
0.24882316697473814,Time=Afternoon
0.25229821318545903,Time=Evening
0.7142082563154651,DayType=Weekday
0.2857917436845348,DayType=Weekend
0.25003080714725817,Congestion=High
0.25000616142945165,Congestion=Low
0.25000616142945165,Congestion=Medium
0.24995686999383857,Congestion=Severe
0.08869993838570549,Weather=LowVisibility
0.7064941466420209,Weather=Normal
0.20480591497227357,Weather=Severe
0.17927295132470733,"DayType=Weekday, Time=Night"
0.07179297597042514,"DayType=Weekend, Time=Night"
0.21422057917436846,"Congestion=Low, Time=Night"
0.1669008009858287,"Time=Night, Weather=Normal"
0.05165742452248922,"Time=Night, Weather=Severe"
0.1768576709796673,"DayType=Weekday, Time=Morning"
0.07095502156500308,"DayType=Weekend, Time=Morning"
0.08833025261860751,"Congestion=High, Time=Morning"
0.10563154651879236,"Congestion=Severe, Time=Morning"
0.16426370918052988,"Time=Morning, Weather=Normal"
0.05195317313616759,"Time=Morning, Weather=Severe"
0.1774245224892175,"DayType=Weekday, Time=Afternoon"
0.07139864448552063,"DayType=Weekend, Time=Afternoon"
0.10094886013555145,"Congestion=High, Time=Afternoon"
0.14060382008626002,"Congestion=Severe, Time=Afternoon"
0.18725816389402342,"Time=Afternoon, Weather=Normal"
0.18065311152187308,"DayType=Weekday, Time=Evening"
0.07164510166358595,"DayType=Weekend, Time=Evening"
0.06072704867529267,"Congestion=High, Time=Evening"
0.16589032655576094,"Congestion=Medium, Time=Evening"
0.18807147258163895,"Time=Evening, Weather=Normal"
0.05123844731977819,"Time=Evening, Weather=Severe"
0.14925446703635242,"Congestion=High, DayType=Weekday"
0.16828096118299446,"Congestion=Low, DayType=Weekday"
0.15546518792359829,"Congestion=Medium, DayType=Weekday"
0.24120764017252003,"Congestion=Severe, DayType=Weekday"
0.06358595194085027,"DayType=Weekday, Weather=LowVisibility"
0.4995686999383857,"DayType=Weekday, Weather=Normal"
0.1510536044362292,"DayType=Weekday, Weather=Severe"
0.10077634011090573,"Congestion=High, DayType=Weekend"
0.08172520024645717,"Congestion=Low, DayType=Weekend"
0.09454097350585336,"Congestion=Medium, DayType=Weekend"
0.20692544670363525,"DayType=Weekend, Weather=Normal"
0.05375231053604436,"DayType=Weekend, Weather=Severe"
0.18186075169439309,"Congestion=High, Weather=Normal"
0.05365372766481824,"Congestion=High, Weather=Severe"
0.1668268638324091,"Congestion=Low, Weather=Normal"
0.052298213185459026,"Congestion=Low, Weather=Severe"
0.177818853974122,"Congestion=Medium, Weather=Normal"
0.05182994454713494,"Congestion=Medium, Weather=Severe"
0.17998767714109673,"Congestion=Severe, Weather=Normal"
0.14987060998151572,"Congestion=Low, DayType=Weekday, Time=Night"
0.11795440542205791,"DayType=Weekday, Time=Night, Weather=Normal"
0.06434996919285274,"Congestion=Low, DayType=Weekend, Time=Night"
0.14316697473813925,"Congestion=Low, Time=Night, Weather=Normal"
0.06523721503388787,"Congestion=High, DayType=Weekday, Time=Morning"
0.10481823783117683,"Congestion=Severe, DayType=Weekday, Time=Morning"
0.11539125077017869,"DayType=Weekday, Time=Morning, Weather=Normal"
0.060406654343807764,"Congestion=High, Time=Morning, Weather=Normal"
0.06802218114602587,"Congestion=Severe, Time=Morning, Weather=Normal"
0.13281577325939617,"Congestion=Severe, DayType=Weekday, Time=Afternoon"
0.13266789895255698,"DayType=Weekday, Time=Afternoon, Weather=Normal"
0.0596426370918053,"Congestion=High, DayType=Weekend, Time=Afternoon"
0.05459026494146642,"DayType=Weekend, Time=Afternoon, Weather=Normal"
0.0739864448552064,"Congestion=High, Time=Afternoon, Weather=Normal"
0.10881084411583487,"Congestion=Severe, Time=Afternoon, Weather=Normal"
0.11753542821934689,"Congestion=Medium, DayType=Weekday, Time=Evening"
0.13355514479359212,"DayType=Weekday, Time=Evening, Weather=Normal"
0.054516327788046826,"DayType=Weekend, Time=Evening, Weather=Normal"
0.1226863832409119,"Congestion=Medium, Time=Evening, Weather=Normal"
0.10388170055452865,"Congestion=High, DayType=Weekday, Weather=Normal"
0.1118422674060382,"Congestion=Low, DayType=Weekday, Weather=Normal"
0.11075785582255084,"Congestion=Medium, DayType=Weekday, Weather=Normal"
0.17308687615526802,"Congestion=Severe, DayType=Weekday, Weather=Normal"
0.07797905113986445,"Congestion=High, DayType=Weekend, Weather=Normal"
0.05498459642637092,"Congestion=Low, DayType=Weekend, Weather=Normal"
0.06706099815157117,"Congestion=Medium, DayType=Weekend, Weather=Normal"
0.0995686999383857,"Congestion=Low, DayType=Weekday, Time=Night, Weather=Normal"
0.06743068391866913,"Congestion=Severe, DayType=Weekday, Time=Morning, Weather=Normal"
0.10264941466420209,"Congestion=Severe, DayType=Weekday, Time=Afternoon, Weather=Normal"
0.08655576093653727,"Congestion=Medium, DayType=Weekday, Time=Evening, Weather=Normal"
