date_time,weather_Clear,weather_Clouds,weather_Drizzle,weather_Fog,weather_Haze,weather_Mist,weather_Rain,weather_Smoke,weather_Snow,weather_Squall,weather_Thunderstorm,holiday,temp,rain_1h,snow_1h,clouds_all,traffic_volume,hour,day_of_week,day_of_week_num,month,year,is_weekend,day_type,is_peak_hour,traffic_period,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,is_holiday,temp_scaled,clouds_all_scaled,traffic_volume_scaled,congestion_category
2012-10-02 09:00:00,0,1,0,0,0,0,0,0,0,0,0,,288.28,0.0,0.0,40,5545,9,Tuesday,1,10,2012,False,Weekday,True,Peak,0.7071067811865476,-0.7071067811865475,0.7818314824680298,0.6234898018587336,0,0.5267849917923081,-0.10855190979546338,1.1358223981385187,Severe
2012-10-02 10:00:00,0,1,0,0,0,0,0,0,0,0,0,,289.36,0.0,0.0,75,4516,10,Tuesday,1,10,2012,False,Weekday,False,Off-peak,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336,0,0.6092679199756696,0.7962278537831192,0.6173751766993074,High
2012-10-02 11:00:00,0,1,0,0,0,0,0,0,0,0,0,,289.58,0.0,0.0,90,4767,11,Tuesday,1,10,2012,False,Weekday,False,Off-peak,0.258819045102521,-0.9659258262890682,0.7818314824680298,0.6234898018587336,0,0.626069997938944,1.1839906096025117,0.7438380071961412,High
2012-10-02 12:00:00,0,1,0,0,0,0,0,0,0,0,0,,290.13,0.0,0.0,90,5026,12,Tuesday,1,10,2012,False,Weekday,False,Off-peak,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,0,0.6680751928471367,1.1839906096025117,0.8743315255175754,Severe
2012-10-02 13:00:00,0,1,0,0,0,0,0,0,0,0,0,,291.14,0.0,0.0,75,4918,13,Tuesday,1,10,2012,False,Weekday,False,Off-peak,-0.2588190451025208,-0.9659258262890683,0.7818314824680298,0.6234898018587336,0,0.7452120053149064,0.7962278537831192,0.8199172398854716,High
2012-10-02 14:00:00,1,0,0,0,0,0,0,0,0,0,0,,291.72,0.0,0.0,1,5181,14,Tuesday,1,10,2012,False,Weekday,False,Off-peak,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,0,0.7895083926726391,-1.116735074925884,0.9524261021192059,Severe
2012-10-02 15:00:00,1,0,0,0,0,0,0,0,0,0,0,,293.17,0.0,0.0,1,5584,15,Tuesday,1,10,2012,False,Weekday,False,Off-peak,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,0,0.900249361066962,-1.116735074925884,1.1554720012834452,Severe
2012-10-02 16:00:00,1,0,0,0,0,0,0,0,0,0,0,,293.86,0.0,0.0,1,6015,16,Tuesday,1,10,2012,False,Weekday,True,Peak,-0.8660254037844384,-0.5000000000000004,0.7818314824680298,0.6234898018587336,0,0.9529467874063297,-1.116735074925884,1.3726253078337853,Severe
2012-10-02 17:00:00,0,1,0,0,0,0,0,0,0,0,0,,294.14,0.0,0.0,20,5791,17,Tuesday,1,10,2012,False,Weekday,True,Peak,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,0,0.9743312502686798,-0.6255689175546535,1.2597660487449776,Severe
2012-10-02 18:00:00,0,1,0,0,0,0,0,0,0,0,0,,293.1,0.0,0.0,20,4770,18,Tuesday,1,10,2012,False,Weekday,True,Peak,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,0,0.8949032453513744,-0.6255689175546535,0.7453495151303664,High
2012-10-02 19:00:00,0,1,0,0,0,0,0,0,0,0,0,,290.97,0.0,0.0,20,3539,19,Tuesday,1,10,2012,False,Weekday,False,Off-peak,-0.9659258262890684,0.2588190451025203,0.7818314824680298,0.6234898018587336,0,0.7322285814341957,-0.6255689175546535,0.1251274261199978,High
2012-10-02 20:00:00,1,0,0,0,0,0,0,0,0,0,0,,289.38,0.0,0.0,1,2784,20,Tuesday,1,10,2012,False,Weekday,False,Off-peak,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0,0.6107953816086934,-1.116735074925884,-0.2552687373266539,Medium
2012-10-02 21:00:00,1,0,0,0,0,0,0,0,0,0,0,,288.61,0.0,0.0,1,2361,21,Tuesday,1,10,2012,False,Weekday,False,Off-peak,-0.7071067811865477,0.7071067811865474,0.7818314824680298,0.6234898018587336,0,0.5519881087372263,-1.116735074925884,-0.46839135605239385,Medium
2012-10-02 22:00:00,1,0,0,0,0,0,0,0,0,0,0,,287.16,0.0,0.0,1,1529,22,Tuesday,1,10,2012,False,Weekday,False,Off-peak,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336,0,0.4412471403429033,-1.116735074925884,-0.8875828898108233,Medium
2012-10-02 23:00:00,1,0,0,0,0,0,0,0,0,0,0,,285.45,0.0,0.0,1,963,23,Tuesday,1,10,2012,False,Weekday,False,Off-peak,-0.25881904510252157,0.9659258262890681,0.7818314824680298,0.6234898018587336,0,0.3106491707192497,-1.116735074925884,-1.1727540534012932,Low
2012-10-03 00:00:00,1,0,0,0,0,0,0,0,0,0,0,,284.63,0.0,0.0,1,506,0,Wednesday,2,10,2012,False,Weekday,False,Off-peak,0.0,1.0,0.9749279121818236,-0.22252093395631434,0,0.2480232437652188,-1.116735074925884,-1.4030070953815845,Low
2012-10-03 01:00:00,1,0,0,0,0,0,0,0,0,0,0,,283.47,0.0,0.0,1,321,1,Wednesday,2,10,2012,False,Weekday,False,Off-peak,0.25881904510252074,0.9659258262890683,0.9749279121818236,-0.22252093395631434,0,0.1594304690497622,-1.116735074925884,-1.496216751325466,Low
2012-10-03 02:00:00,1,0,0,0,0,0,0,0,0,0,0,,281.18,0.0,0.0,1,273,2,Wednesday,2,10,2012,False,Weekday,False,Off-peak,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0,-0.015463887931619713,-1.116735074925884,-1.5204008782730678,Low
