holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time,traffic_volume,hour,day_of_week,month,year,is_weekend,day_type,is_peak_hour,traffic_period,temp_c,is_congested,traffic_rolling_3h,traffic_rolling_24h
,288.28,0.0,0.0,40,Clouds,scattered clouds,2012-10-02 09:00:00,5545,9,Tuesday,10,2012,False,Weekday,True,Peak,15.129999999999995,True,5545.0,5545.0
,289.36,0.0,0.0,75,Clouds,broken clouds,2012-10-02 10:00:00,4516,10,Tuesday,10,2012,False,Weekday,False,Off-peak,16.210000000000036,False,5030.5,5030.5
,289.58,0.0,0.0,90,Clouds,overcast clouds,2012-10-02 11:00:00,4767,11,Tuesday,10,2012,False,Weekday,False,Off-peak,16.430000000000007,False,4942.666666666667,4942.666666666667
,290.13,0.0,0.0,90,Clouds,overcast clouds,2012-10-02 12:00:00,5026,12,Tuesday,10,2012,False,Weekday,False,Off-peak,16.980000000000018,False,4769.666666666667,4963.5
,291.14,0.0,0.0,75,Clouds,broken clouds,2012-10-02 13:00:00,4918,13,Tuesday,10,2012,False,Weekday,False,Off-peak,17.99000000000001,False,4903.666666666667,4954.4
,291.72,0.0,0.0,1,Clear,sky is clear,2012-10-02 14:00:00,5181,14,Tuesday,10,2012,False,Weekday,False,Off-peak,18.57000000000005,False,5041.666666666667,4992.166666666667
,293.17,0.0,0.0,1,Clear,sky is clear,2012-10-02 15:00:00,5584,15,Tuesday,10,2012,False,Weekday,False,Off-peak,20.02000000000004,True,5227.666666666667,5076.714285714285
,293.86,0.0,0.0,1,Clear,sky is clear,2012-10-02 16:00:00,6015,16,Tuesday,10,2012,False,Weekday,True,Peak,20.710000000000036,True,5593.333333333333,5194.0
,294.14,0.0,0.0,20,Clouds,few clouds,2012-10-02 17:00:00,5791,17,Tuesday,10,2012,False,Weekday,True,Peak,20.99000000000001,True,5796.666666666667,5260.333333333333
,293.1,0.0,0.0,20,Clouds,few clouds,2012-10-02 18:00:00,4770,18,Tuesday,10,2012,False,Weekday,True,Peak,19.950000000000045,False,5525.333333333333,5211.3
,290.97,0.0,0.0,20,Clouds,few clouds,2012-10-02 19:00:00,3539,19,Tuesday,10,2012,False,Weekday,False,Off-peak,17.82000000000005,False,4700.0,5059.272727272727
,289.38,0.0,0.0,1,Clear,sky is clear,2012-10-02 20:00:00,2784,20,Tuesday,10,2012,False,Weekday,False,Off-peak,16.230000000000018,False,3697.6666666666665,4869.666666666667
,288.61,0.0,0.0,1,Clear,sky is clear,2012-10-02 21:00:00,2361,21,Tuesday,10,2012,False,Weekday,False,Off-peak,15.460000000000036,False,2894.6666666666665,4676.692307692308
,287.16,0.0,0.0,1,Clear,sky is clear,2012-10-02 22:00:00,1529,22,Tuesday,10,2012,False,Weekday,False,Off-peak,14.010000000000048,False,2224.6666666666665,4451.857142857143
,285.45,0.0,0.0,1,Clear,sky is clear,2012-10-02 23:00:00,963,23,Tuesday,10,2012,False,Weekday,False,Off-peak,12.300000000000011,False,1617.6666666666667,4219.266666666666
,284.63,0.0,0.0,1,Clear,sky is clear,2012-10-03 00:00:00,506,0,Wednesday,10,2012,False,Weekday,False,Off-peak,11.480000000000018,False,999.3333333333334,3987.1875
,283.47,0.0,0.0,1,Clear,sky is clear,2012-10-03 01:00:00,321,1,Wednesday,10,2012,False,Weekday,False,Off-peak,10.32000000000005,False,596.6666666666666,3771.529411764706
,281.18,0.0,0.0,1,Clear,sky is clear,2012-10-03 02:00:00,273,2,Wednesday,10,2012,False,Weekday,False,Off-peak,8.03000000000003,False,366.6666666666667,3577.1666666666665
,281.09,0.0,0.0,1,Clear,sky is clear,2012-10-03 03:00:00,367,3,Wednesday,10,2012,False,Weekday,False,Off-peak,7.939999999999998,False,320.3333333333333,3408.2105263157896
,279.53,0.0,0.0,1,Clear,sky is clear,2012-10-03 04:00:00,814,4,Wednesday,10,2012,False,Weekday,False,Off-peak,6.3799999999999955,False,484.6666666666667,3278.5
,278.62,0.0,0.0,1,Clear,sky is clear,2012-10-03 05:00:00,2718,5,Wednesday,10,2012,False,Weekday,False,Off-peak,5.470000000000027,False,1299.6666666666667,3251.809523809524
,278.23,0.0,0.0,1,Clear,sky is clear,2012-10-03 06:00:00,5673,6,Wednesday,10,2012,False,Weekday,False,Off-peak,5.080000000000041,True,3068.3333333333335,3361.8636363636365
,278.12,0.0,0.0,1,Clear,sky is clear,2012-10-03 08:00:00,6511,8,Wednesday,10,2012,False,Weekday,True,Peak,4.970000000000027,True,4967.333333333333,3498.782608695652
,282.48,0.0,0.0,1,Clear,sky is clear,2012-10-03 09:00:00,5471,9,Wednesday,10,2012,False,Weekday,True,Peak,9.330000000000041,False,5885.0,3580.9583333333335
,291.97,0.0,0.0,1,Clear,sky is clear,2012-10-03 12:00:00,5097,12,Wednesday,10,2012,False,Weekday,False,Off-peak,18.82000000000005,False,5693.0,3562.2916666666665
,293.23,0.0,0.0,1,Clear,sky is clear,2012-10-03 13:00:00,4887,13,Wednesday,10,2012,False,Weekday,False,Off-peak,20.08000000000004,False,5151.666666666667,3577.75
,294.31,0.0,0.0,1,Clear,sky is clear,2012-10-03 14:00:00,5337,14,Wednesday,10,2012,False,Weekday,False,Off-peak,21.160000000000025,False,5107.0,3601.5
,295.17,0.0,0.0,1,Clear,sky is clear,2012-10-03 15:00:00,5692,15,Wednesday,10,2012,False,Weekday,False,Off-peak,22.02000000000004,True,5305.333333333333,3629.25
,295.13,0.0,0.0,1,Clear,sky is clear,2012-10-03 16:00:00,6137,16,Wednesday,10,2012,False,Weekday,True,Peak,21.980000000000018,True,5722.0,3680.0416666666665
,293.66,0.0,0.0,20,Clouds,few clouds,2012-10-03 18:00:00,4623,18,Wednesday,10,2012,False,Weekday,True,Peak,20.510000000000048,False,5484.0,3656.7916666666665
,290.65,0.0,0.0,20,Clouds,few clouds,2012-10-03 19:00:00,3591,19,Wednesday,10,2012,False,Weekday,False,Off-peak,17.5,False,4783.666666666667,3573.75
,288.19,0.0,0.0,20,Clouds,few clouds,2012-10-03 20:00:00,2898,20,Wednesday,10,2012,False,Weekday,False,Off-peak,15.04000000000002,False,3704.0,3443.875
,287.1,0.0,0.0,1,Clear,sky is clear,2012-10-03 21:00:00,2637,21,Wednesday,10,2012,False,Weekday,False,Off-peak,13.950000000000045,False,3042.0,3312.4583333333335
,286.25,0.0,0.0,1,Clear,sky is clear,2012-10-03 22:00:00,1777,22,Wednesday,10,2012,False,Weekday,False,Off-peak,13.100000000000023,False,2437.3333333333335,3187.75
,285.26,0.0,0.0,1,Clear,sky is clear,2012-10-03 23:00:00,1015,23,Wednesday,10,2012,False,Weekday,False,Off-peak,12.110000000000014,False,1809.6666666666667,3082.5833333333335
,284.55,0.0,0.0,1,Clear,sky is clear,2012-10-04 00:00:00,598,0,Thursday,10,2012,False,Weekday,False,Off-peak,11.400000000000034,False,1130.0,2991.5
,283.47,0.0,0.0,1,Clear,sky is clear,2012-10-04 01:00:00,369,1,Thursday,10,2012,False,Weekday,False,Off-peak,10.32000000000005,False,660.6666666666666,2908.5
